TYPE,DATE,START TIME,END TIME,USAGE,UNITS,COST,NOTES
Electric usage,2015-02-10,18:00,18:59,0.88,kWh,$0.12,
Electric usage,2015-02-10,19:00,19:59,0.85,kWh,$0.11,
Electric usage,2015-02-10,20:00,20:59,0.84,kWh,$0.11,
Electric usage,2015-02-10,21:00,21:59,0.82,kWh,$0.11,
Electric usage,2015-02-10,22:00,22:59,1.43,kWh,$0.19,
Electric usage,2015-02-10,23:00,23:59,0.36,kWh,$0.05,
Electric usage,2015-02-11,00:00,00:59,0.74,kWh,$0.1,
Electric usage,2015-02-11,01:00,01:59,0.35,kWh,$0.05,
Electric usage,2015-02-11,02:00,02:59,0.37,kWh,$0.05,
Electric usage,2015-02-11,03:00,03:59,0.36,kWh,$0.05,
Electric usage,2015-02-11,04:00,04:59,0.72,kWh,$0.1,
Electric usage,2015-02-11,05:00,05:59,0.37,kWh,$0.05,
Electric usage,2015-02-11,06:00,06:59,3.93,kWh,$0.53,
Electric usage,2015-02-11,07:00,07:59,1.62,kWh,$0.22,
Electric usage,2015-02-11,08:00,08:59,0.53,kWh,$0.07,
Electric usage,2015-02-11,09:00,09:59,0.27,kWh,$0.04,
Electric usage,2015-02-11,10:00,10:59,0.1,kWh,$0.01,
Electric usage,2015-02-11,11:00,11:59,0.44,kWh,$0.06,
Electric usage,2015-02-11,12:00,12:59,0.09,kWh,$0.01,
Electric usage,2015-02-11,13:00,13:59,0.08,kWh,$0.01,
Electric usage,2015-02-11,14:00,14:59,0.08,kWh,$0.01,
Electric usage,2015-02-11,15:00,15:59,0.42,kWh,$0.06,
Electric usage,2015-02-11,16:00,16:59,0.08,kWh,$0.01,
Electric usage,2015-02-11,17:00,17:59,0.14,kWh,$0.02,
Electric usage,2015-02-11,18:00,18:59,0.11,kWh,$0.01,
Electric usage,2015-02-11,19:00,19:59,0.45,kWh,$0.06,
Electric usage,2015-02-11,20:00,20:59,1.93,kWh,$0.26,
Electric usage,2015-02-11,21:00,21:59,1.13,kWh,$0.15,
Electric usage,2015-02-11,22:00,22:59,0.44,kWh,$0.06,
Electric usage,2015-02-11,23:00,23:59,0.39,kWh,$0.05,
Electric usage,2015-02-12,00:00,00:59,0.69,kWh,$0.09,
