TYPE,DATE,START TIME,END TIME,USAGE,UNITS,NOTES
Electric usage,1/29/14,12:00,12:59,2.96,kWh,
Electric usage,1/29/14,13:00,13:59,2.87,kWh,
Electric usage,1/29/14,14:00,14:59,2.86,kWh,
Electric usage,1/29/14,15:00,15:59,2.58,kWh,
Electric usage,1/29/14,16:00,16:59,2.98,kWh,
Electric usage,1/29/14,17:00,17:59,2.77,kWh,
Electric usage,1/29/14,18:00,18:59,2.92,kWh,
Electric usage,1/29/14,19:00,19:59,2.78,kWh,
Electric usage,1/29/14,20:00,20:59,3.04,kWh,
Electric usage,1/29/14,21:00,21:59,2.83,kWh,
Electric usage,1/29/14,22:00,22:59,2.66,kWh,
Electric usage,1/29/14,23:00,23:59,2.68,kWh,
Electric usage,1/30/14,0:00,0:59,2.83,kWh,
Electric usage,1/30/14,1:00,1:59,2.68,kWh,
Electric usage,1/30/14,2:00,2:59,2.72,kWh,
Electric usage,1/30/14,3:00,3:59,2.78,kWh,
Electric usage,1/30/14,4:00,4:59,2.72,kWh,
Electric usage,1/30/14,5:00,5:59,2.74,kWh,
Electric usage,1/30/14,6:00,6:59,3.06,kWh,
Electric usage,1/30/14,7:00,7:59,2.71,kWh,
Electric usage,1/30/14,8:00,8:59,2.72,kWh,
Electric usage,1/30/14,9:00,9:59,2.8,kWh,
Electric usage,1/30/14,10:00,10:59,2.7,kWh,
Electric usage,1/30/14,11:00,11:59,2.67,kWh,
Electric usage,1/30/14,12:00,12:59,2.65,kWh,
Electric usage,1/30/14,13:00,13:59,2.46,kWh,
Electric usage,1/30/14,14:00,14:59,2.34,kWh,
Electric usage,1/30/14,15:00,15:59,2.45,kWh,
Electric usage,1/30/14,16:00,16:59,2.44,kWh,
Electric usage,1/30/14,17:00,17:59,2.69,kWh,
Electric usage,1/30/14,18:00,18:59,2.58,kWh,
Electric usage,1/30/14,19:00,19:59,2.37,kWh,
Electric usage,1/30/14,20:00,20:59,2.3,kWh,
Electric usage,1/30/14,21:00,21:59,2.44,kWh,
Electric usage,1/30/14,22:00,22:59,2.34,kWh,
Electric usage,1/30/14,23:00,23:59,2.37,kWh,
Electric usage,1/31/14,0:00,0:59,2.45,kWh,
Electric usage,1/31/14,1:00,1:59,2.43,kWh,
Electric usage,1/31/14,2:00,2:59,2.4,kWh,
Electric usage,1/31/14,3:00,3:59,2.51,kWh,
Electric usage,1/31/14,4:00,4:59,2.5,kWh,
Electric usage,1/31/14,5:00,5:59,2.4,kWh,
Electric usage,1/31/14,6:00,6:59,2.41,kWh,
Electric usage,1/31/14,7:00,7:59,2.61,kWh,
Electric usage,1/31/14,8:00,8:59,2.46,kWh,
Electric usage,1/31/14,9:00,9:59,2.42,kWh,
Electric usage,1/31/14,10:00,10:59,2.4,kWh,
Electric usage,1/31/14,11:00,11:59,2.29,kWh,
Electric usage,1/31/14,12:00,12:59,2.26,kWh,
Electric usage,1/31/14,13:00,13:59,2.08,kWh,
Electric usage,1/31/14,14:00,14:59,1.97,kWh,
Electric usage,1/31/14,15:00,15:59,1.8,kWh,
Electric usage,1/31/14,16:00,16:59,2.11,kWh,
Electric usage,1/31/14,17:00,17:59,2.17,kWh,
Electric usage,1/31/14,18:00,18:59,2.42,kWh,
Electric usage,1/31/14,19:00,19:59,2.43,kWh,
Electric usage,1/31/14,20:00,20:59,2.06,kWh,
Electric usage,1/31/14,21:00,21:59,2,kWh,
Electric usage,1/31/14,22:00,22:59,2.1,kWh,
Electric usage,1/31/14,23:00,23:59,2.15,kWh,
